Date_Time,港外波高_HS
2023/1/29 19:00,1.05
2023/1/29 20:00,1.04
2023/1/29 21:00,1.12
2023/1/29 22:00,1.12
2023/1/29 23:00,1.06
2023/1/30 00:00,0.99
2023/1/30 01:00,1.21
2023/1/30 02:00,1.11
2023/1/30 03:00,1.01
2023/1/30 04:00,0.91
2023/1/30 05:00,1.01
2023/1/30 06:00,1.04
2023/1/30 07:00,1.09
2023/1/30 08:00,1.13
2023/1/30 09:00,1.09
2023/1/30 10:00,1
2023/1/30 11:00,1.01
2023/1/30 12:00,0.96
2023/1/30 13:00,0.89
2023/1/30 14:00,0.94
2023/1/30 15:00,0.9
2023/1/30 16:00,0.92
2023/1/30 17:00,0.82
2023/1/30 18:00,0.82
2023/1/30 19:00,0.8
2023/1/30 20:00,0.77
2023/1/30 21:00,0.81
2023/1/30 22:00,0.87
2023/1/30 23:00,0.85
2023/1/31 00:00,0.86
2023/1/31 01:00,0.81
2023/1/31 02:00,0.81
2023/1/31 03:00,0.77
2023/1/31 04:00,0.79
2023/1/31 05:00,0.78
2023/1/31 06:00,0.78
2023/1/31 07:00,0.79
2023/1/31 08:00,0.8
2023/1/31 09:00,0.87
2023/1/31 10:00,0.86
2023/1/31 11:00,0.89
2023/1/31 12:00,0.79
2023/1/31 13:00,0.9
2023/1/31 14:00,0.9
2023/1/31 15:00,0.93
2023/1/31 16:00,0.88
2023/1/31 17:00,0.96
2023/1/31 18:00,0.98
2023/1/31 19:00,0.91
2023/1/31 20:00,0.83
2023/1/31 21:00,0.84
2023/1/31 22:00,0.88
2023/1/31 23:00,0.82
